------+----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File          Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 UniFP2.asm      1 | Comment     | 11 |         |    0 | 00/8000               | *
    2 |  1 UniFP2.asm      2 | Comment     | 11 |         |    0 | 00/8000               | *    Unidisk 3.5 Driver <alfa>
    3 |  1 UniFP2.asm      3 | Comment     | 11 |         |    0 | 00/8000               | *
    4 |  1 UniFP2.asm      4 | Comment     | 11 |         |    0 | 00/8000               | *    The target of this project is to use the Unidisk 3.5 drive to perform
    5 |  1 UniFP2.asm      5 | Comment     | 11 |         |    0 | 00/8000               | *    specific numerical routines (integers and floating point numbers)
    6 |  1 UniFP2.asm      6 | Comment     | 11 |         |    0 | 00/8000               | *    calculation in order to use it as a Apple II co-processor unit.
    7 |  1 UniFP2.asm      7 | Comment     | 11 |         |    0 | 00/8000               | *
    8 |  1 UniFP2.asm      8 | Comment     | 11 |         |    0 | 00/8000               | *    Copyright (C) 2015  Riccardo Greco <rigreco.grc@gmail.com>.
    9 |  1 UniFP2.asm      9 | Comment     | 11 |         |    0 | 00/8000               | *
   10 |  1 UniFP2.asm     10 | Comment     | 11 |         |    0 | 00/8000               | *    This program is free software: you can redistribute it and/or modify
   11 |  1 UniFP2.asm     11 | Comment     | 11 |         |    0 | 00/8000               | *    it under the terms of the GNU General Public License as published by
   12 |  1 UniFP2.asm     12 | Comment     | 11 |         |    0 | 00/8000               | *    the Free Software Foundation, either version 3 of the License, or
   13 |  1 UniFP2.asm     13 | Comment     | 11 |         |    0 | 00/8000               | *    (at your option) any later version.
   14 |  1 UniFP2.asm     14 | Comment     | 11 |         |    0 | 00/8000               | *    This program is distributed in the hope that it will be useful,
   15 |  1 UniFP2.asm     15 | Comment     | 11 |         |    0 | 00/8000               | *    but WITHOUT ANY WARRANTY; without even the implied warranty of
   16 |  1 UniFP2.asm     16 | Comment     | 11 |         |    0 | 00/8000               | *    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
   17 |  1 UniFP2.asm     17 | Comment     | 11 |         |    0 | 00/8000               | *    GNU General Public License for more details.
   18 |  1 UniFP2.asm     18 | Comment     | 11 |         |    0 | 00/8000               | *    You should have received a copy of the GNU General Public License
   19 |  1 UniFP2.asm     19 | Comment     | 11 |         |    0 | 00/8000               | *    along with this program.  If not, see <http://www.gnu.org/licenses/>.
   20 |  1 UniFP2.asm     20 | Comment     | 11 |         |    0 | 00/8000               | *
   21 |  1 UniFP2.asm     21 | Comment     | 11 |         |    0 | 00/8000               | *
   22 |  1 UniFP2.asm     22 | Comment     | 11 |         |    0 | 00/8000               | * @com.wudsn.ide.asm.hardware=APPLE2
   23 |  1 UniFP2.asm     23 | Directive   | 11 |         |    0 | 00/8000               |               XC                   
   24 |  1 UniFP2.asm     24 | Comment     | 11 |         |    0 | 00/8000               | ** CHKSUM Pointer *
   25 |  1 UniFP2.asm     25 | Equivalence | 11 |         |    0 | 00/8000               | PTR           equ   $08            
   26 |  1 UniFP2.asm     26 | Comment     | 11 |         |    0 | 00/8000               | ** Protocol Converter Call
   27 |  1 UniFP2.asm     27 | Equivalence | 11 |         |    0 | 00/8000               | ZPTempL       equ   $0006          ;Temporary zero page storage
