------+---------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File         Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+---------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 UniFP.asm      1 | Comment     | 11 |         |    0 | 00/8000               | * @com.wudsn.ide.asm.hardware=APPLE2
    2 |  1 UniFP.asm      2 | Comment     | 11 |         |    0 | 00/8000               |       ***********************
    3 |  1 UniFP.asm      3 | Comment     | 11 |         |    0 | 00/8000               |       *                     *
    4 |  1 UniFP.asm      4 | Comment     | 11 |         |    0 | 00/8000               |       *  APPLE-II FLOATING  *
    5 |  1 UniFP.asm      5 | Comment     | 11 |         |    0 | 00/8000               |       *   POINT ROUTINES    *
    6 |  1 UniFP.asm      6 | Comment     | 11 |         |    0 | 00/8000               |       *                     *
    7 |  1 UniFP.asm      7 | Comment     | 11 |         |    0 | 00/8000               |       *  COPYRIGHT 1977 BY  *
    8 |  1 UniFP.asm      8 | Comment     | 11 |         |    0 | 00/8000               |       * APPLE COMPUTER INC. *
    9 |  1 UniFP.asm      9 | Comment     | 11 |         |    0 | 00/8000               |       *                     *
   10 |  1 UniFP.asm     10 | Comment     | 11 |         |    0 | 00/8000               |       * ALL RIGHTS RESERVED *
   11 |  1 UniFP.asm     11 | Comment     | 11 |         |    0 | 00/8000               |       *                     *
   12 |  1 UniFP.asm     12 | Comment     | 11 |         |    0 | 00/8000               |       *     S. WOZNIAK      *
   13 |  1 UniFP.asm     13 | Comment     | 11 |         |    0 | 00/8000               |       *                     *
   14 |  1 UniFP.asm     14 | Comment     | 11 |         |    0 | 00/8000               |       ***********************
   15 |  1 UniFP.asm     15 | Comment     | 11 |         |    0 | 00/8000               | *     TITLE "FLOATING POINT ROUTINES for //c memory"
   16 |  1 UniFP.asm     16 | Comment     | 11 |         |    0 | 00/8000               | *
   17 |  1 UniFP.asm     17 | Equivalence | 11 |         |    0 | 00/8000               | SIGN        EQU   $EB            ;  $F3
   18 |  1 UniFP.asm     18 | Empty       | 11 |         |    0 | 00/8000               |                                  
   19 |  1 UniFP.asm     19 | Comment     | 11 |         |    0 | 00/8000               | 	  ** FP2 4 Bytes ** 
   20 |  1 UniFP.asm     20 | Equivalence | 11 |         |    0 | 00/8000               | X2          EQU   $EC            ;  $F4
   21 |  1 UniFP.asm     21 | Equivalence | 11 |         |    0 | 00/8000               | M2          EQU   $ED            ;  $F5 - $7
   22 |  1 UniFP.asm     22 | Empty       | 11 |         |    0 | 00/8000               |                                  
   23 |  1 UniFP.asm     23 | Comment     | 11 |         |    0 | 00/8000               | 	  ** FP1 4 Bytes + E extension **
   24 |  1 UniFP.asm     24 | Equivalence | 11 |         |    0 | 00/8000               | X1          EQU   $FA            ;  $F8
   25 |  1 UniFP.asm     25 | Equivalence | 11 |         |    0 | 00/8000               | M1          EQU   $FB            ;  $F9 - $FB
