------+-------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File             Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+-------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 UnidriveU.asm      1 | Comment     | 11 |         |    0 | 00/8000               | *
    2 |  1 UnidriveU.asm      2 | Comment     | 11 |         |    0 | 00/8000               | *    Unidisk 3.5 Calc Unimplemented area <beta>
    3 |  1 UnidriveU.asm      3 | Comment     | 11 |         |    0 | 00/8000               | *
    4 |  1 UnidriveU.asm      4 | Comment     | 11 |         |    0 | 00/8000               | *    The target of this project is to use the Unidisk 3.5 drive to perform
    5 |  1 UnidriveU.asm      5 | Comment     | 11 |         |    0 | 00/8000               | *    specific numerical routines: 2 Byte Add integer numbers calculation;
    6 |  1 UnidriveU.asm      6 | Comment     | 11 |         |    0 | 00/8000               | *    in order to use it as a Apple II co-processor unit.
    7 |  1 UnidriveU.asm      7 | Comment     | 11 |         |    0 | 00/8000               | *
    8 |  1 UnidriveU.asm      8 | Comment     | 11 |         |    0 | 00/8000               | *    Copyright (C) 2015  Riccardo Greco <rigreco.grc@gmail.com>.
    9 |  1 UnidriveU.asm      9 | Comment     | 11 |         |    0 | 00/8000               | *
   10 |  1 UnidriveU.asm     10 | Comment     | 11 |         |    0 | 00/8000               | *    This program is free software: you can redistribute it and/or modify
   11 |  1 UnidriveU.asm     11 | Comment     | 11 |         |    0 | 00/8000               | *    it under the terms of the GNU General Public License as published by
   12 |  1 UnidriveU.asm     12 | Comment     | 11 |         |    0 | 00/8000               | *    the Free Software Foundation, either version 3 of the License, or
   13 |  1 UnidriveU.asm     13 | Comment     | 11 |         |    0 | 00/8000               | *    (at your option) any later version.
   14 |  1 UnidriveU.asm     14 | Comment     | 11 |         |    0 | 00/8000               | *    This program is distributed in the hope that it will be useful,
   15 |  1 UnidriveU.asm     15 | Comment     | 11 |         |    0 | 00/8000               | *    but WITHOUT ANY WARRANTY; without even the implied warranty of
   16 |  1 UnidriveU.asm     16 | Comment     | 11 |         |    0 | 00/8000               | *    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
   17 |  1 UnidriveU.asm     17 | Comment     | 11 |         |    0 | 00/8000               | *    GNU General Public License for more details.
   18 |  1 UnidriveU.asm     18 | Comment     | 11 |         |    0 | 00/8000               | *    You should have received a copy of the GNU General Public License
   19 |  1 UnidriveU.asm     19 | Comment     | 11 |         |    0 | 00/8000               | *    along with this program.  If not, see <http://www.gnu.org/licenses/>.
   20 |  1 UnidriveU.asm     20 | Comment     | 11 |         |    0 | 00/8000               | *
   21 |  1 UnidriveU.asm     21 | Comment     | 11 |         |    0 | 00/8000               | *
   22 |  1 UnidriveU.asm     22 | Comment     | 11 |         |    0 | 00/8000               | * @com.wudsn.ide.asm.hardware=APPLE2
   23 |  1 UnidriveU.asm     23 | Comment     | 11 |         |    0 | 00/8000               | * Protocol Converter Call
   24 |  1 UnidriveU.asm     24 | Directive   | 11 |         |    0 | 00/8000               |               XC                   
   25 |  1 UnidriveU.asm     25 | Equivalence | 11 |         |    0 | 00/8000               | ZPTempL       equ   $0006          ;Temporary zero page storage
   26 |  1 UnidriveU.asm     26 | Equivalence | 11 |         |    0 | 00/8000               | ZPTempH       equ   $0007          
   27 |  1 UnidriveU.asm     27 | Comment     | 11 |         |    0 | 00/8000               | ** Zero page storage **
   28 |  1 UnidriveU.asm     28 | Equivalence | 11 |         |    0 | 00/8000               | N1            equ   $19            ;25
   29 |  1 UnidriveU.asm     29 | Equivalence | 11 |         |    0 | 00/8000               | N2            equ   $1B            ;27
   30 |  1 UnidriveU.asm     30 | Equivalence | 11 |         |    0 | 00/8000               | RSLT          equ   $1D            ;29
   31 |  1 UnidriveU.asm     31 | Comment     | 11 |         |    0 | 00/8000               | *** Monitor routines ***
   32 |  1 UnidriveU.asm     32 | Equivalence | 11 |         |    0 | 00/8000               | COut          equ   $FDED          ;Console output ASCII
   33 |  1 UnidriveU.asm     33 | Equivalence | 11 |         |    0 | 00/8000               | CROut         equ   $FD8E          ;Carriage return
   34 |  1 UnidriveU.asm     34 | Comment     | 11 |         |    0 | 00/8000               | ** Command Code **
   35 |  1 UnidriveU.asm     35 | Equivalence | 11 |         |    0 | 00/8000               | StatusCmd     equ   0              
   36 |  1 UnidriveU.asm     36 | Comment     | 11 |         |    0 | 00/8000               | ** Status Code **
   37 |  1 UnidriveU.asm     37 | Comment     | 11 |         |    0 | 00/8000               | * StatusDIB  	equ 3
   38 |  1 UnidriveU.asm     38 | Equivalence | 11 |         |    0 | 00/8000               | StatusUNI     equ   5              
   39 |  1 UnidriveU.asm     39 | Comment     | 11 |         |    0 | 00/8000               | *
   40 |  1 UnidriveU.asm     40 | Equivalence | 11 |         |    0 | 00/8000               | ControlCmd    equ   4              
   41 |  1 UnidriveU.asm     41 | Comment     | 11 |         |    0 | 00/8000               | ** Control Codes **
   42 |  1 UnidriveU.asm     42 | Equivalence | 11 |         |    0 | 00/8000               | Eject         equ   4              
   43 |  1 UnidriveU.asm     43 | Equivalence | 11 |         |    0 | 00/8000               | Run           equ   5              
