------+-----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File           Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+-----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 Uniprox.asm      1 | Comment     | 11 |         |    0 | 00/8000               | * @com.wudsn.ide.asm.hardware=APPLE2
    2 |  1 Uniprox.asm      2 | Comment     | 11 |         |    0 | 00/8000               | * Protocol Converter Call
    3 |  1 Uniprox.asm      3 | Directive   | 11 |         |    0 | 00/8000               |               XC                   
    4 |  1 Uniprox.asm      4 | Equivalence | 11 |         |    0 | 00/8000               | ZPTempL       equ   $0006          ;Temporary zero page storage
    5 |  1 Uniprox.asm      5 | Equivalence | 11 |         |    0 | 00/8000               | ZPTempH       equ   $0007          
    6 |  1 Uniprox.asm      6 | Comment     | 11 |         |    0 | 00/8000               | *** Pointers ***
    7 |  1 Uniprox.asm      7 | Equivalence | 11 |         |    0 | 00/8000               | LowMain       equ   $000A          
    8 |  1 Uniprox.asm      8 | Equivalence | 11 |         |    0 | 00/8000               | HiMain        equ   $000B          
    9 |  1 Uniprox.asm      9 | Comment     | 11 |         |    0 | 00/8000               | *** Monitor routines ***
   10 |  1 Uniprox.asm     10 | Equivalence | 11 |         |    0 | 00/8000               | COut          equ   $FDED          ;Console output ASCII
   11 |  1 Uniprox.asm     11 | Equivalence | 11 |         |    0 | 00/8000               | COUT1         equ   $FDF0          ;Output to screen
   12 |  1 Uniprox.asm     12 | Equivalence | 11 |         |    0 | 00/8000               | CROut         equ   $FD8E          ;Carriage return
   13 |  1 Uniprox.asm     13 | Equivalence | 11 |         |    0 | 00/8000               | PRbyte        equ   $FDDA          ;Print byte in hex
   14 |  1 Uniprox.asm     14 | Equivalence | 11 |         |    0 | 00/8000               | PRBL2         equ   $F94A          ;Print many spaces
   15 |  1 Uniprox.asm     15 | Equivalence | 11 |         |    0 | 00/8000               | KEYIN         equ   $FD1B          ;Waits for keypress
   16 |  1 Uniprox.asm     16 | Comment     | 11 |         |    0 | 00/8000               | ** Command Code **
   17 |  1 Uniprox.asm     17 | Equivalence | 11 |         |    0 | 00/8000               | StatusCmd     equ   0              
   18 |  1 Uniprox.asm     18 | Comment     | 11 |         |    0 | 00/8000               | ** Status Code **
   19 |  1 Uniprox.asm     19 | Equivalence | 11 |         |    0 | 00/8000               | StatusDIB     equ   3              
   20 |  1 Uniprox.asm     20 | Equivalence | 11 |         |    0 | 00/8000               | StatusUNI     equ   5              
   21 |  1 Uniprox.asm     21 | Comment     | 11 |         |    0 | 00/8000               | *
   22 |  1 Uniprox.asm     22 | Equivalence | 11 |         |    0 | 00/8000               | ControlCmd    equ   4              
   23 |  1 Uniprox.asm     23 | Comment     | 11 |         |    0 | 00/8000               | ** Control Codes **
   24 |  1 Uniprox.asm     24 | Equivalence | 11 |         |    0 | 00/8000               | Eject         equ   4              
   25 |  1 Uniprox.asm     25 | Equivalence | 11 |         |    0 | 00/8000               | Run           equ   5              
   26 |  1 Uniprox.asm     26 | Equivalence | 11 |         |    0 | 00/8000               | SetDWLoad     equ   6              
   27 |  1 Uniprox.asm     27 | Equivalence | 11 |         |    0 | 00/8000               | DWLoad        equ   7              
   28 |  1 Uniprox.asm     28 | Comment     | 11 |         |    0 | 00/8000               | *
   29 |  1 Uniprox.asm     29 | Directive   | 11 |         |    0 | 00/8000               |               org   $8000          
   30 |  1 Uniprox.asm     30 | Comment     | 11 |         |    0 | 00/8000               | *
   31 |  1 Uniprox.asm     31 | Comment     | 11 |         |    0 | 00/8000               | * Presentation message
   32 |  1 Uniprox.asm     32 | Comment     | 11 |         |    0 | 00/8000               | *
   33 |  1 Uniprox.asm     33 | Code        | 11 |         |    2 | 00/8000 : A2 00       |               ldx   #0             
   34 |  1 Uniprox.asm     34 | Empty       | 11 |         |    0 | 00/8002               | ozunid_1                           
   35 |  1 Uniprox.asm     34 | Equivalence | 11 |         |    0 | 00/8002               | LOOP          equ   ozunid_1       
   36 |  1 Uniprox.asm     35 | Code        | 11 |         |    3 | 00/8002 : BD 0D 80    |               lda   DATA,x         
   37 |  1 Uniprox.asm     36 | Code        | 11 |         |    2 | 00/8005 : F0 27       |               beq   START          
   38 |  1 Uniprox.asm     37 | Code        | 11 |         |    3 | 00/8007 : 20 ED FD    |               jsr   {$FDED}        
   39 |  1 Uniprox.asm     38 | Code        | 11 |         |    1 | 00/800A : E8          |               inx                  
   40 |  1 Uniprox.asm     39 | Code        | 11 |         |    2 | 00/800B : D0 F5       |               bne   {ozunid_1}     
   41 |  1 Uniprox.asm     40 | Comment     | 11 |         |    0 | 00/800D               | *
   42 |  1 Uniprox.asm     41 | Data        | 11 |         |   31 | 00/800D : 55 4E 49 44 | DATA          asc   'UNIDISK 3.5 UTILITY BY R. GRECO'
      |                       |             |    |         |      |           49 53 4B 20 |
      |                       |             |    |         |      |           33 2E 35 20 |
      |                       |             |    |         |      |           55 54 49 4C |
      |                       |             |    |         |      |           49 54 59 20 |
      |                       |             |    |         |      |           42 59 20 52 |
      |                       |             |    |         |      |           2E 20 47 52 |
      |                       |             |    |         |      |           45 43 4F    |
   43 |  1 Uniprox.asm     42 | Data        | 11 |         |    2 | 00/802C : 8D 00       |               dfb   $8D,0          ; Inverse mode on
   44 |  1 Uniprox.asm     43 | Comment     | 11 |         |    0 | 00/802E               | *
   45 |  1 Uniprox.asm     44 | Comment     | 11 |         |    0 | 00/802E               | * Find a Protocol Converter in one of the slots.
   46 |  1 Uniprox.asm     45 | Code        | 11 |         |    3 | 00/802E : 20 24 81    | START         jsr   {ozunid_7}     
   47 |  1 Uniprox.asm     46 | Code        | 11 |         |    2 | 00/8031 : B0 61       |               bcs   {ozunid_4}     
   48 |  1 Uniprox.asm     47 | Empty       | 11 |         |    0 | 00/8033               |                                    
   49 |  1 Uniprox.asm     48 | Code        | 11 |         |    3 | 00/8033 : 20 8E FD    |               jsr   {$FD8E}        
   50 |  1 Uniprox.asm     49 | Code        | 11 |         |    3 | 00/8036 : 20 8E FD    |               jsr   {$FD8E}        
